dict_size,topk,topk_aux,aux_penalty,num_workers,epoch,epoch,_runtime,val_num_dead_features,val_loss,val_l1_loss,val_l2_loss,val_l0_norm,val_l1_norm,val_aux_loss,train_num_dead_features,train_loss,train_l1_loss,train_l2_loss,train_l0_norm,train_l1_norm,train_aux_loss
256,16,16,1.0,64,11,10,3304.252010525,7.206284046173096,7.841730117797852,0,3.9522979259490967,16.000030517578125,248.09800720214844,3.8894290924072266,2.7950587272644043,7.7780256271362305,0.0,3.961146831512451,15.999943733215332,247.53457641601562,3.8168816566467285
256,16,16,1.0,64,12,11,3602.311543776,9.161380767822266,7.781510353088379,0,3.9294168949127197,16.000030517578125,249.7670135498047,3.852095365524292,4.448422908782959,7.788212776184082,0.0,3.922799587249756,15.999943733215332,248.9218292236328,3.8654158115386963
256,16,16,1.0,64,13,12,3890.165721569,9.789199829101562,7.748281478881836,0,3.9059226512908936,16.000030517578125,250.2899169921875,3.8423540592193604,3.294217348098755,7.674991607666016,0.0,3.896822929382324,15.999943733215332,250.46157836914062,3.778170585632324
256,16,16,1.0,64,14,13,4187.716500473,8.6809720993042,7.715732574462891,0,3.8891963958740234,16.000030517578125,250.7086944580078,3.8265349864959717,6.503819942474365,7.711533546447754,0.0,3.8895316123962402,15.999943733215332,250.5355224609375,3.822000026702881
256,16,16,1.0,64,15,14,4487.038133257,7.415657043457031,7.697153568267822,0,3.8771748542785645,16.000030517578125,250.77296447753906,3.819979190826416,4.411769866943359,7.623952388763428,0.0,3.8714981079101562,15.999943733215332,250.68138122558594,3.7524590492248535
256,16,16,1.0,64,16,15,5576.189363791,7.7993245124816895,7.660829544067383,0,3.8649916648864746,16.000030517578125,250.57777404785156,3.79584002494812,6.476428508758545,7.661983966827393,0.0,3.864453077316284,15.999943733215332,250.24844360351562,3.797529458999634
256,16,16,1.0,64,17,16,5576.197545949,13.002735137939453,7.621021747589111,0,3.8616535663604736,16.000030517578125,249.9879150390625,3.759368658065796,5.436244010925293,7.6452155113220215,0.0,3.853323459625244,15.999943733215332,250.128662109375,3.7918903827667236
256,16,16,1.0,64,18,17,5576.204881861,11.563458442687988,7.620303630828857,0,3.8714797496795654,16.000030517578125,249.83628845214844,3.74882435798645,7.927029132843018,7.616198539733887,0.0,3.852736711502075,15.999943733215332,249.7072296142578,3.7634634971618652
256,16,16,1.0,64,19,18,5682.493093963,11.685896873474121,7.619577407836914,0,3.8526089191436768,16.000030517578125,249.5044708251953,3.7669670581817627,7.57969331741333,7.607141971588135,0.0,3.844022274017334,15.999943733215332,249.6221923828125,3.763113498687744
256,16,16,1.0,64,20,19,6780.374054923,13.483715057373047,7.590110778808594,0,3.8660149574279785,16.000030517578125,248.959228515625,3.72409725189209,9.00012493133545,7.58199405670166,0.0,3.8443093299865723,15.999943733215332,249.32260131835938,3.7376818656921387
256,16,16,1.0,64,21,20,6780.383112146,13.5977783203125,7.590062618255615,0,3.8446149826049805,16.000030517578125,249.43572998046875,3.7454490661621094,8.696672439575195,7.57563591003418,0.0,3.8400332927703857,15.999943733215332,249.24234008789062,3.735599994659424
256,16,16,1.0,64,22,21,6780.390716754,13.17764949798584,7.563116550445557,0,3.8523671627044678,16.000030517578125,249.11163330078125,3.7107529640197754,7.714907646179199,7.567994594573975,0.0,3.833177089691162,15.999943733215332,249.2740936279297,3.734821319580078
256,16,16,1.0,64,23,22,6875.963036666,12.880258560180664,7.55499267578125,0,3.8461456298828125,16.000030517578125,248.89674377441406,3.708846092224121,9.549748420715332,7.552023887634277,0.0,3.835073709487915,15.999943733215332,249.01048278808594,3.7169430255889893
